Report date: 2020-05-01
EHR,GPCode, PracticeName, PracticeListSize, Events, Patients
Vision,P87002,Poplars,11411,36,24
Vision,P87003,St Andrews (Lindsay),3968,6,5
Vision,P87004,Salford Medical Centre (Salim),3598,2,2
EMIS Web,P87008,Walkden Medical Centre,8154,39,19
Vision,P87014,Irlam Group Practice,3898,13,11
Vision,P87015,Pendleton Gateway (Austin),3496,12,7
Vision,P87016,The Sides,12873,27,23
EMIS Web,P87017,The Limes,5201,13,12
Vision,P87019,Silverdale Medical Practice,12190,19,14
Vision,P87020,St Andrews (Budden),6445,9,6
Vision,P87022,Mocha Parade,2008,1,1
Vision,P87024,Springfield Medical Centre,10149,13,12
EMIS Web,P87025,The Lakes,9449,2,2
Vision,P87026,Newbury Green,11235,14,12
Vision,P87027,Langworthy Medical Centre,17918,24,18
EMIS Web,P87028,The Gill,6772,34,25
Vision,P87032,Orient Road Medical Practice,5350,9,7
Vision,P87035,Ordsall Health Centre,10022,11,9
Vision,P87036,Lower Broughton Health Centre (Sultan),1561,2,2
Vision,P87039,Irlam Medical Centre,4076,5,4
Vision,P87040,Sorrell Group Practice,8926,5,5
Vision,P87610,Mosslands Medical Centre,8976,10,9
EMIS Web,P87613,Cleggs Lane Medical Practice,3374,4,4
EMIS Web,P87618,Dr Y Loomba & Partners,2037,1,1
Vision,P87620,Monton Medical Centre,8946,9,9
EMIS Web,P87624,Ellenbrook Medical Centre,5117,9,8
EMIS Web,P87625,Dearden Avenue,2343,1,1
EMIS Web,P87627,Orchard Medical Centre,2992,9,6
EMIS Web,P87630,Cherry Medical Centre,2816,4,4
EMIS Web,P87634,Clarendon Surgery,9631,29,19
Vision,P87639,Cornerstone Medical Practice,2986,4,4
EMIS Web,P87649,Chapel Medical Centre,2703,1,1
Vision,P87651,Limefield Road Medical Practice,5456,5,5
Vision,P87652,Lower Broughton Health Centre (Buch),1993,2,2
Vision,P87654,Lower Broughton Health Centre (Jeet),5543,7,6
Vision,P87657,Salford Care Centre Irlam,2802,9,4
EMIS Web,P87658,The Willows,3192,7,6
Vision,P87659,St Andrews Medical Centre (Yates),3828,5,5
Vision,P87660,Eccles Gateway,2493,1,1
Vision,P87661,Manchester Road East Medical Practice,2138,1,1
Vision,Y00445,Salford Health Matters,16806,29,22
Vision,Y02622,Blackfriars,10769,3,3
Vision,Y02625,Care Homes Medical Practice,1043,24,18
Unknown,Y02767,The Heights Practice,5274,3,3
